ORGANIZATION,PROGRAM,DESCRIPTION,YTD AMOUNT,QTD AMOUNT                                                                                                                                                                                                    
2024 HON. CLIFF BENTZ,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,142.22,115.22
2024 HON. CLIFF BENTZ,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7545.12,4504.74
2024 HON. CLIFF BENTZ,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2102.18,1601.18
2024 HON. CLIFF BENTZ,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,828662.51,442776.02
2024 HON. CLIFF BENTZ,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,828662.51,442776.02
2024 HON. CLIFF BENTZ,INTERN ALLOWANCES,PERSONNEL COMPENSATION,20052.08,15132.63
2024 HON. CLIFF BENTZ,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,20052.08,15132.63
2024 HON. CLIFF BENTZ,INTERN ALLOWANCES,OFFICE TOTALS:,20052.08,15132.63
2024 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,526,111.35
2024 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,582194.51,298958.38
2024 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,30284.52,25755.92
2024 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,21603.5,19438.38
2024 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,7655.08,4688.58
2024 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,833,0
2024 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1917.21,825.9
2024 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7074.04,5588.02
2024 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,652087.86,355366.53
2024 HON. AMI BERA,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,652087.86,355366.53
2024 HON. AMI BERA,INTERN ALLOWANCES,PERSONNEL COMPENSATION,11250,5900
2024 HON. AMI BERA,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,11250,5900
2024 HON. AMI BERA,INTERN ALLOWANCES,OFFICE TOTALS:,11250,5900
2024 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,73097.35,73453.47
2024 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,637469.01,323717.3
2024 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,82774.98,64785.05
2024 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,16355.27,10056.01
2024 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,102420.36,102096.86
2024 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,400,160
2024 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7323.11,5558.38
2024 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,9616.26,2246.16
2024 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,929456.34,582073.23
2024 HON. JACK BERGMAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,929456.34,582073.23
2024 HON. JACK BERGMAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,34020.01,16433.34
2024 HON. JACK BERGMAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,34020.01,16433.34
2024 HON. JACK BERGMAN,INTERN ALLOWANCES,OFFICE TOTALS:,34020.01,16433.34
2024 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,260.12,313.35
2024 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,642434.69,331687.48
2024 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,662.98,647.06
2024 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,20447.98,16106.95
2024 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,452.76,414.76
2024 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,95.96,0
2024 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6177.08,1612.8
2024 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2904.93,249
2024 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,673436.5,351031.4
2024 HON. DONALD S. BEYER  JR.,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,673436.5,351031.4
2024 HON. DONALD S. BEYER  JR.,INTERN ALLOWANCES,PERSONNEL COMPENSATION,13850,7450
2024 HON. DONALD S. BEYER  JR.,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,13850,7450
2024 HON. DONALD S. BEYER  JR.,INTERN ALLOWANCES,OFFICE TOTALS:,13850,7450
2024 HON. STEPHANIE I. BICE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,43798.65,43747.73
2024 HON. STEPHANIE I. BICE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,603968.06,315914.58
2024 HON. STEPHANIE I. BICE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,44455.93,28828.8
2024 HON. STEPHANIE I. BICE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,42061.97,21714.43
2024 HON. STEPHANIE I. BICE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,33722.93,22111.93
2024 HON. STEPHANIE I. BICE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,1949,1850
2024 HON. STEPHANIE I. BICE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8486.71,7113.23
2024 HON. STEPHANIE I. BICE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6595.77,4463.77
2024 HON. STEPHANIE I. BICE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,785039.02,445744.47
2024 HON. STEPHANIE I. BICE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,785039.02,445744.47
2024 HON. STEPHANIE I. BICE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,22546.66,10743.33
2024 HON. STEPHANIE I. BICE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,22546.66,10743.33
2024 HON. STEPHANIE I. BICE,INTERN ALLOWANCES,OFFICE TOTALS:,22546.66,10743.33
2024 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,18171.57,17964.89
2024 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,531333.35,270750.01
2024 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,35760.42,22054.1
2024 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,43225.19,22930.01
2024 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,9858.25,9858.25
2024 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3404.57,2635.08
2024 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1998,999
2024 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,643751.35,347191.34
2024 HON. ANDY BIGGS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,643751.35,347191.34
2024 HON. ANDY BIGGS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,11060,6560
2024 HON. ANDY BIGGS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,11060,6560
2024 HON. ANDY BIGGS,INTERN ALLOWANCES,OFFICE TOTALS:,11060,6560
2024 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,119464.28,22654.5
2024 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,605340.32,308070.86
2024 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,25827.86,17681.5
2024 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,84318.38,50959.34
2024 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,74242.25,18109.53
2024 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,22017.96,10732.96
2024 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5112.26,2708.41
2024 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5280.62,1532.99
2024 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,941603.93,432450.09
2024 HON. GUS  M. BILIRAKIS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,941603.93,432450.09
2024 HON. GUS  M. BILIRAKIS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6000,3550
2024 HON. GUS  M. BILIRAKIS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,6000,3550
2024 HON. GUS  M. BILIRAKIS,INTERN ALLOWANCES,OFFICE TOTALS:,6000,3550
2024 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,127.42,95.37
2024 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,518984.11,258080.55
2024 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,33090.72,24314.11
2024 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,11081.79,6606.96
2024 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,304.5,38
2024 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,62,62
2024 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11868.66,6592
2024 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1845,1125
2024 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,577364.2,296913.99
2024 HON. DAN BISHOP,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,577364.2,296913.99
2024 HON. DAN BISHOP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,24559.16,16596.67
2024 HON. DAN BISHOP,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,24559.16,16596.67
2024 HON. DAN BISHOP,INTERN ALLOWANCES,OFFICE TOTALS:,24559.16,16596.67
2024 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,748.51,391.85
2024 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,662819.99,338083.35
2024 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,48593.37,29123.95
2024 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,66600.48,50615.94
2024 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,560.6,241.76
2024 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,22760,11340
2024 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8992.36,1553.39
2024 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2345.7,1172.85
2024 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,813421.01,432523.09
2024 HON. SANFORD D. BISHOP  JR.,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,813421.01,432523.09
2024 HON. SANFORD D. BISHOP  JR.,INTERN ALLOWANCES,PERSONNEL COMPENSATION,40222.2,15355.56
2024 HON. SANFORD D. BISHOP  JR.,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,40222.2,15355.56
2024 HON. SANFORD D. BISHOP  JR.,INTERN ALLOWANCES,OFFICE TOTALS:,40222.2,15355.56
2024 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,181.36,161.3
2024 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,790566.16,426266.71
2024 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,38094.18,22811.09
2024 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,32364.41,29839.72
2024 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,250.08,132.08
2024 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,2693.09,1832.73
2024 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4218.13,3339.62
2024 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1752,876
2024 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,870119.41,485259.25
2024 HON. EARL BLUMENAUER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,870119.41,485259.25
2024 HON. EARL BLUMENAUER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,21480,12280
2024 HON. EARL BLUMENAUER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,21480,12280
2024 HON. EARL BLUMENAUER,INTERN ALLOWANCES,OFFICE TOTALS:,21480,12280
2024 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,387.4,229.53
2024 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,694884.4,354701.16
2024 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14135.7,7647.73
2024 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,14143.74,8706.01
2024 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,36803.39,36585.39
2024 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,15889.31,8169.31
2024 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10601.95,3268.5
2024 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3475,1362
2024 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,790320.89,420669.63
2024 HON. LISA BLUNT ROCHESTER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,790320.89,420669.63
2024 HON. LISA BLUNT ROCHESTER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,17951.99,11387.73
2024 HON. LISA BLUNT ROCHESTER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,17951.99,11387.73
2024 HON. LISA BLUNT ROCHESTER,INTERN ALLOWANCES,OFFICE TOTALS:,17951.99,11387.73
2024 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3988.49,100.47
2024 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,589455.03,312275.02
2024 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,65689.01,45958.87
2024 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,11747.28,7715.28
2024 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,969.19,173.69
2024 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,14541.78,7256.59
2024 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,29162.84,8071.45
2024 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6995.54,2979
2024 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,722549.16,384530.37
2024 HON. LAUREN BOEBERT,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,722549.16,384530.37
2024 HON. LAUREN BOEBERT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,17683.33,9150
2024 HON. LAUREN BOEBERT,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,17683.33,9150
2024 HON. LAUREN BOEBERT,INTERN ALLOWANCES,OFFICE TOTALS:,17683.33,9150
2024 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,12139.55,11806.21
2024 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,731634.82,370096.02
2024 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17897.95,17275.3
2024 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,50298.56,26626.01
2024 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,27016.91,26832.41
2024 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21.19,21.19
2024 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9043.92,6035.54
2024 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2972,744
2024 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,851024.9,459436.68
2024 HON. SUZANNE BONAMICI,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,851024.9,459436.68
2024 HON. SUZANNE BONAMICI,INTERN ALLOWANCES,PERSONNEL COMPENSATION,30739.99,13989.99
2024 HON. SUZANNE BONAMICI,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,30739.99,13989.99
2024 HON. SUZANNE BONAMICI,INTERN ALLOWANCES,OFFICE TOTALS:,30739.99,13989.99
2024 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,26651.44,8670.13
2024 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,493411.15,257350.01
2024 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,43457.83,33345.31
2024 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,12899.21,8440.27
2024 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,25638.11,25638.11
2024 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,2475,1160
2024 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15633.03,4725.38
2024 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2480.67,501
2024 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,622646.44,339830.21
2024 HON. MIKE BOST,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,622646.44,339830.21
2024 HON. MIKE BOST,INTERN ALLOWANCES,PERSONNEL COMPENSATION,4566.67,2266.67
2024 HON. MIKE BOST,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,4566.67,2266.67
2024 HON. MIKE BOST,INTERN ALLOWANCES,OFFICE TOTALS:,4566.67,2266.67
2024 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,48581.85,48469.15
2024 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,670249.93,328005.53
2024 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,49098.54,27844.26
2024 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,139384.06,76256.84
2024 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,58503.04,58222.34
2024 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,55481.6,27978.42
2024 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,30209.29,6980.29
2024 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,9003.53,8906.03
2024 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1060511.84,582662.86
2024 HON. JAMAAL BOWMAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1060511.84,582662.86
2024 HON. JAMAAL BOWMAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,25314.44,9760
2024 HON. JAMAAL BOWMAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,25314.44,9760
2024 HON. JAMAAL BOWMAN,INTERN ALLOWANCES,OFFICE TOTALS:,25314.44,9760
2024 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,207.45,203.88
2024 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,528857.09,267563.83
2024 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,29907.84,19652.25
2024 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,66737.85,39825.92
2024 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,135452,450.1
2024 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3709.04,3709.04
2024 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,17868.28,17218.53
2024 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4253.67,2181.34
2024 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,786993.22,350804.89
2024 HON. BRENDAN F. BOYLE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,786993.22,350804.89
2024 HON. BRENDAN F. BOYLE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,18702.66,6136
2024 HON. BRENDAN F. BOYLE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,18702.66,6136
2024 HON. BRENDAN F. BOYLE,INTERN ALLOWANCES,OFFICE TOTALS:,18702.66,6136
2024 HON. JOSH BRECHEEN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,807.51,560.97
2024 HON. JOSH BRECHEEN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,607234.96,314789.05
2024 HON. JOSH BRECHEEN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,80172.6,51726.63
2024 HON. JOSH BRECHEEN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,44250.79,23661.45
2024 HON. JOSH BRECHEEN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,54321.73,11488.36
2024 HON. JOSH BRECHEEN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3793.17,3.17
2024 HON. JOSH BRECHEEN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12329.31,3143.44
2024 HON. JOSH BRECHEEN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,802910.07,405373.07
2024 HON. JOSH BRECHEEN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,802910.07,405373.07
2024 HON. JOSH BRECHEEN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,22700,13640
2024 HON. JOSH BRECHEEN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,22700,13640
2024 HON. JOSH BRECHEEN,INTERN ALLOWANCES,OFFICE TOTALS:,22700,13640
2024 HON. SHONTEL M. BROWN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,727.67,498.86
2024 HON. SHONTEL M. BROWN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,608036.68,306886.76
2024 HON. SHONTEL M. BROWN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,38102.12,31540.42
2024 HON. SHONTEL M. BROWN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,62209.89,35720.24
2024 HON. SHONTEL M. BROWN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,8970.85,7763.67
2024 HON. SHONTEL M. BROWN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20435,13805
2024 HON. SHONTEL M. BROWN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14049.85,12980.32
2024 HON. SHONTEL M. BROWN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2022,1011
2024 HON. SHONTEL M. BROWN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,754554.06,410206.27
2024 HON. SHONTEL M. BROWN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,754554.06,410206.27
2024 HON. SHONTEL M. BROWN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,31755.75,21321.08
